evid,latitude,longitude,depth,time,mag
253,35.6879,-117.4649,5.91,2000-12-13T19:13:01.090000,1.0
254,35.6791,-117.4735,4.60,2000-12-13T19:14:01.010000,1.0
255,35.5970,-117.4028,7.21,2000-12-13T19:15:01.180000,1.0
256,35.9403,-117.6700,5.94,2000-12-13T19:16:01.160000,1.0
257,35.6821,-117.4946,2.23,2000-12-13T19:17:01.090000,1.0
258,35.7458,-117.5499,2.43,2000-12-13T19:18:00.980000,1.0
259,35.7382,-117.5247,5.09,2000-12-13T19:19:00.970000,1.0
260,35.9043,-117.6670,5.62,2000-12-13T19:20:01.140000,1.0
261,35.9287,-117.7150,5.64,2000-12-13T19:21:01.200000,1.0
262,35.6169,-117.4144,4.53,2000-12-13T19:22:01.150000,1.0
263,35.9194,-117.7279,8.57,2000-12-13T19:23:01.130000,1.0
264,35.8836,-117.7018,5.53,2000-12-13T19:24:01.120000,1.0
265,35.6087,-117.4182,5.21,2000-12-13T19:25:01.170000,1.0
266,35.7062,-117.5017,4.96,2000-12-13T19:26:00.990000,1.0
267,36.0556,-117.8487,4.50,2000-12-13T19:27:01.150000,1.0
268,35.7326,-117.5360,5.84,2000-12-13T19:28:01.060000,1.0
269,35.6327,-117.4282,4.19,2000-12-13T19:29:01.180000,1.0
270,35.9272,-117.7199,4.89,2000-12-13T19:30:01.110000,1.0
271,35.6488,-117.4321,3.50,2000-12-13T19:31:01.080000,1.0
272,35.6835,-117.5201,6.50,2000-12-13T19:32:01.140000,1.0
273,35.6625,-117.4798,5.54,2000-12-13T19:33:01.070000,1.0
274,35.6575,-117.4602,1.29,2000-12-13T19:34:01.080000,1.0
275,35.6488,-117.4475,2.68,2000-12-13T19:35:01.050000,1.0
276,35.9292,-117.7027,5.27,2000-12-13T19:36:01.170000,1.0
277,35.9709,-117.6556,4.95,2000-12-13T19:37:01.100000,1.0
278,35.6171,-117.4160,4.07,2000-12-13T19:38:01.070000,1.0
279,35.9618,-117.6906,5.59,2000-12-13T19:39:01.130000,1.0
280,35.8847,-117.6699,6.13,2000-12-13T19:40:01.090000,1.0
281,35.6562,-117.4566,5.01,2000-12-13T19:41:01.090000,1.0
282,35.5820,-117.6140,4.99,2000-12-13T19:42:01.100000,1.0
283,35.6160,-117.4474,5.44,2000-12-13T19:43:01.320000,1.0
284,35.5944,-117.4289,4.33,2000-12-13T19:44:01.170000,1.0
285,35.7387,-117.5537,4.18,2000-12-13T19:45:01.050000,1.0
286,35.9903,-117.6590,2.45,2000-12-13T19:46:01.130000,1.0
287,35.8901,-117.6565,9.29,2000-12-13T19:47:01.070000,1.0
288,35.9023,-117.7070,6.89,2000-12-13T19:48:01.160000,1.0
289,35.9614,-117.6900,5.64,2000-12-13T19:49:01.060000,1.0
290,35.7195,-117.4849,3.89,2000-12-13T19:50:00.900000,1.0
291,35.6388,-117.4256,4.28,2000-12-13T19:51:01.160000,1.0
292,35.6865,-117.4791,1.06,2000-12-13T19:52:00.960000,1.0
293,35.9213,-117.6743,5.55,2000-12-13T19:53:01.050000,1.0
294,35.8989,-117.6880,7.14,2000-12-13T19:54:01.200000,1.0
295,35.9320,-117.6880,3.83,2000-12-13T19:55:01.040000,1.0
296,35.6994,-117.5282,6.71,2000-12-13T19:56:01.190000,1.0
297,35.9233,-117.6914,5.27,2000-12-13T19:57:01.110000,1.0
298,35.6879,-117.5226,5.73,2000-12-13T19:58:01.130000,1.0
299,35.7198,-117.5079,3.30,2000-12-13T19:59:00.930000,1.0
300,35.7013,-117.5265,7.30,2000-12-13T20:00:01.220000,1.0
301,35.7067,-117.5705,5.16,2000-12-13T20:01:01.090000,1.0
302,35.6331,-117.4213,5.04,2000-12-13T20:02:01.160000,1.0
303,35.7611,-117.5610,7.00,2000-12-13T20:03:01.180000,1.0
304,35.9857,-117.6564,4.35,2000-12-13T20:04:01.080000,1.0
305,35.8943,-117.6670,6.17,2000-12-13T20:05:01.160000,1.0
306,35.6449,-117.4399,3.60,2000-12-13T20:06:01.060000,1.0
307,35.9197,-117.6845,5.80,2000-12-13T20:07:01.100000,1.0
308,35.9186,-117.6688,5.75,2000-12-13T20:08:01.110000,1.0
309,35.6592,-117.4933,5.57,2000-12-13T20:09:01.090000,1.0
310,35.6186,-117.4157,5.61,2000-12-13T20:10:01.100000,1.0
311,35.6047,-117.5845,3.30,2000-12-13T20:11:01.100000,1.0
312,35.5942,-117.5951,3.89,2000-12-13T20:12:01.050000,1.0
313,35.5993,-117.3914,8.12,2000-12-13T20:13:01.160000,1.0
314,35.6346,-117.4268,2.99,2000-12-13T20:14:01.180000,1.0
315,35.7164,-117.4961,3.47,2000-12-13T20:15:00.920000,1.0
316,35.7340,-117.5269,4.67,2000-12-13T20:16:00.990000,1.0
317,36.0672,-117.8474,3.44,2000-12-13T20:17:00.840000,1.0
318,35.9482,-117.6897,6.10,2000-12-13T20:18:01.170000,1.0
319,35.9311,-117.6970,5.10,2000-12-13T20:19:01.170000,1.0
320,35.8947,-117.7175,7.71,2000-12-13T20:20:01.120000,1.0
321,35.9386,-117.6850,5.47,2000-12-13T20:21:01.130000,1.0
322,35.5989,-117.5863,3.69,2000-12-13T20:22:01.120000,1.0
323,35.7075,-117.5402,4.83,2000-12-13T20:23:01.030000,1.0
324,35.6716,-117.4782,3.84,2000-12-13T20:24:01.040000,1.0
325,35.6248,-117.5882,6.86,2000-12-13T20:25:01.360000,1.0
326,35.9953,-117.6444,5.77,2000-12-13T20:26:01.080000,1.0
327,35.7624,-117.5588,6.16,2000-12-13T20:27:01.160000,1.0
328,35.7512,-117.5619,5.83,2000-12-13T20:28:01.050000,1.0
329,35.9125,-117.7128,6.96,2000-12-13T20:29:01.150000,1.0
330,35.9039,-117.6982,9.04,2000-12-13T20:30:01.160000,1.0
331,35.6686,-117.4779,1.67,2000-12-13T20:31:01.090000,1.0
332,35.9081,-117.6833,5.73,2000-12-13T20:32:01.150000,1.0
333,35.8882,-117.6755,5.76,2000-12-13T20:33:01.130000,1.0
334,35.6107,-117.4205,7.43,2000-12-13T20:34:01.230000,1.0
335,35.9303,-117.7013,5.49,2000-12-13T20:35:01.130000,1.0
336,35.6306,-117.4405,5.78,2000-12-13T20:36:01.200000,1.0
337,35.6464,-117.4310,4.94,2000-12-13T20:37:01.090000,1.0
338,35.8953,-117.6962,8.10,2000-12-13T20:38:01.100000,1.0
339,35.7290,-117.5650,6.59,2000-12-13T20:39:01.170000,1.0
340,35.6352,-117.4305,4.10,2000-12-13T20:40:01.130000,1.0
341,35.8850,-117.7119,5.44,2000-12-13T20:41:01.130000,1.0
342,35.8973,-117.7318,9.02,2000-12-13T20:42:01.150000,1.0
343,35.8576,-117.6606,8.38,2000-12-13T20:43:01.190000,1.0
344,35.6834,-117.4945,3.44,2000-12-13T20:44:01.040000,1.0
345,35.6334,-117.4352,3.21,2000-12-13T20:45:01.140000,1.0
346,35.9044,-117.6814,5.35,2000-12-13T20:46:01.150000,1.0
347,35.6139,-117.5814,4.47,2000-12-13T20:47:01.200000,1.0
348,35.9541,-117.6692,3.98,2000-12-13T20:48:01.100000,1.0
349,36.0631,-117.8449,5.22,2000-12-13T20:49:01.190000,1.0
350,35.6570,-117.4864,5.24,2000-12-13T20:50:01.070000,1.0
351,35.9128,-117.6665,5.42,2000-12-13T20:51:01.080000,1.0
352,35.8887,-117.6769,3.88,2000-12-13T20:52:01.240000,1.0
353,35.6355,-117.4351,3.11,2000-12-13T20:53:01.110000,1.0
354,35.8440,-117.6584,5.61,2000-12-13T20:54:01.320000,1.0
355,35.9399,-117.6909,5.40,2000-12-13T20:55:01.230000,1.0
356,35.7494,-117.5391,4.43,2000-12-13T20:56:00.970000,1.0
357,35.6153,-117.4601,3.85,2000-12-13T20:57:01.190000,1.0
358,35.9739,-117.6659,4.71,2000-12-13T20:58:01.180000,1.0
359,35.9405,-117.6784,5.07,2000-12-13T20:59:01.160000,1.0
360,35.7172,-117.5484,5.52,2000-12-13T21:00:01.080000,1.0
361,35.8414,-117.6428,5.67,2000-12-13T21:01:01.280000,1.0
362,36.0510,-117.8664,4.43,2000-12-13T21:02:01.080000,1.0
363,36.0192,-117.8683,1.97,2000-12-13T21:03:01.090000,1.0
364,35.5783,-117.6162,4.53,2000-12-13T21:04:01.130000,1.0
365,35.6888,-117.5121,6.60,2000-12-13T21:05:01.150000,1.0
366,35.9765,-117.6735,4.86,2000-12-13T21:06:01.160000,1.0
367,35.9108,-117.6906,7.83,2000-12-13T21:07:01.180000,1.0
