velest,NonLinLoc,hypoinverse,hypoDD,growclust
1.094,1.729062,0.985,0.733,0.387
1.125,0.438172,0.172,0.071,0.974
0.532,0.804172,0.698,0.357,0.289
1.604,0.817594,0.394,0.389,0.387
0.721,4.682938,0.483,0.084,2.25
1.547,2.473625,0.812,2.041,1.358
0.336,2.937406,0.251,0.126,0.221
2.048,1.203219,0.434,0.082,0.579
1.902,0.250469,0.54,0.043,0.147
1.361,0.206672,1.223,0.134,1.505
0.829,1.336344,1.189,1.332,1.815
1.677,0.751938,0.476,0.374,0.214
0.362,1.040594,0.162,0.174,0.07
0.014,0.610656,0.808,1.262,1.05
0.455,2.135625,1.565,1.64,0.45
0.635,0.362594,0.031,0.056,0.004
0.791,0.862984,0.769,0.274,0.748
0.213,1.686625,1.601,1.352,1.522
0.895,0.202344,0.305,1.15,0.408
0.486,0.793266,0.316,0.056,0.406
0.366,1.626938,0.861,1.436,1.261
0.96,1.535469,1.285,0.312,1.751
0.092,0.744812,0.578,0.112,0.546
1.149,0.643391,0.443,0.544,1.545
0.463,0.102812,0.195,0.383,0.359
1.391,0.077094,0.446,0.129,1.394
1.71,1.083906,0.97,0.509,0.72
0.645,0.428359,0.665,0.303,1.324
1.603,0.926656,0.304,1.049,0.696
1.544,0.079266,0.192,0.325,0.586
0.168,0.602062,0.578,0.921,0.019
0.486,0.1975,2.23,0.186,1.055
0.311,2.925438,0.972,1.021,1.45
0.172,0.807469,0.882,1.468,0.225
0.308,0.796469,1.551,1.547,2.015
0.546,0.912938,1.282,1.215,1.484
0.033,0.215844,0.191,0.846,0.611
0.215,1.049062,1.305,0.007,1.33
0.179,1.369969,0.562,1.643,2.174
0.271,1.555906,0.542,0.074,1.195
0.625,0.129219,1.01,0.106,1.297
0.425,0.411156,0.211,0.923,0.015
0.018,0.812906,0.754,1.466,0.506
1.735,2.868109,2.606,0.094,1.672
1.155,2.551328,1.975,0.54,1.673
0.819,1.152969,0.135,0.585,0.144
1.634,0.678938,0.773,0.989,1.18
0.7,1.277109,1.43,1.254,1.202
0.589,2.283875,0.727,0.355,0.31
0.109,1.634438,1.726,0.148,1.206
1.124,1.301688,0.043,0.81,0.454
1.089,0.267438,0.824,0.926,0.05
2.208,0.469328,0.863,0.182,0.84
1.249,1.536312,0.021,0.091,0.553
0.002,3.059562,1.118,1.551,0.87
0.673,2.312125,0.699,0.179,1.179
1.168,1.507781,0.468,1.324,0.809
0.716,3.765812,2.668,0.392,0.756
0.834,0.186219,0.942,0.431,0.982
0.508,1.709906,0.041,0.116,1.55
0.909,0.366812,0.164,0.077,0.28
0.599,0.024062,0.56,1.0,0.014
0.271,1.386906,1.003,1.478,0.081
0.166,3.325375,0.339,0.28,1.537
0.457,0.162969,1.12,0.12,1.551
0.896,0.515594,0.427,1.179,0.554
1.169,0.448031,1.681,1.319,1.93
0.785,1.293688,0.669,1.32,1.804
1.093,2.563688,0.714,1.311,0.076
0.341,1.077297,0.613,0.27,0.012
0.103,1.636781,0.641,0.335,1.325
