evid,latitude,longitude,depth,time,mag
279,35.9672,-117.6921,4.98,2000-12-13T19:39:00.940000,1.0
280,35.8875,-117.6734,5.84,2000-12-13T19:40:00.980000,1.0
281,35.6568,-117.4543,5.10,2000-12-13T19:41:00.990000,1.0
282,35.5800,-117.6171,4.62,2000-12-13T19:42:01.010000,1.0
283,35.6168,-117.4458,5.30,2000-12-13T19:43:01.230000,1.0
284,35.5916,-117.4229,4.93,2000-12-13T19:44:01.050000,1.0
285,35.7405,-117.5561,4.05,2000-12-13T19:45:00.960000,1.0
286,35.9940,-117.6651,1.87,2000-12-13T19:46:00.970000,1.0
287,35.8924,-117.6629,8.79,2000-12-13T19:47:00.920000,1.0
288,35.9071,-117.7117,6.32,2000-12-13T19:48:00.980000,1.0
289,35.9676,-117.6923,5.19,2000-12-13T19:49:00.870000,1.0
290,35.7202,-117.4861,3.70,2000-12-13T19:50:00.830000,1.0
291,35.6388,-117.4243,4.33,2000-12-13T19:51:01.030000,1.0
292,35.6865,-117.4780,0.82,2000-12-13T19:52:00.860000,1.0
293,35.9240,-117.6804,5.10,2000-12-13T19:53:00.920000,1.0
294,35.9078,-117.6941,6.94,2000-12-13T19:54:00.970000,1.0
295,35.9351,-117.6988,3.53,2000-12-13T19:55:00.870000,1.0
296,35.7019,-117.5279,6.76,2000-12-13T19:56:01.080000,1.0
297,35.9312,-117.6923,4.85,2000-12-13T19:57:00.930000,1.0
298,35.6897,-117.5230,5.86,2000-12-13T19:58:01.040000,1.0
299,35.7212,-117.5086,3.19,2000-12-13T19:59:00.850000,1.0
300,35.7021,-117.5292,7.60,2000-12-13T20:00:01.100000,1.0
301,35.7096,-117.5718,5.17,2000-12-13T20:01:00.970000,1.0
302,35.6338,-117.4175,5.09,2000-12-13T20:02:01.050000,1.0
303,35.7659,-117.5613,6.97,2000-12-13T20:03:01.050000,1.0
304,35.9887,-117.6645,3.61,2000-12-13T20:04:00.890000,1.0
305,35.8951,-117.6739,5.67,2000-12-13T20:05:01.020000,1.0
306,35.6448,-117.4402,3.45,2000-12-13T20:06:00.970000,1.0
307,35.9247,-117.6875,5.22,2000-12-13T20:07:00.910000,1.0
308,35.9233,-117.6729,5.23,2000-12-13T20:08:00.930000,1.0
309,35.6595,-117.4932,5.69,2000-12-13T20:09:01.000000,1.0
310,35.6171,-117.4129,5.63,2000-12-13T20:10:00.990000,1.0
311,35.6023,-117.5869,2.97,2000-12-13T20:11:00.960000,1.0
312,35.5950,-117.5974,3.83,2000-12-13T20:12:00.930000,1.0
313,35.6032,-117.3900,7.46,2000-12-13T20:13:01.070000,1.0
314,35.6349,-117.4237,2.87,2000-12-13T20:14:01.090000,1.0
315,35.7184,-117.4967,3.26,2000-12-13T20:15:00.820000,1.0
316,35.7367,-117.5265,4.52,2000-12-13T20:16:00.890000,1.0
317,36.0639,-117.8428,2.82,2000-12-13T20:17:00.830000,1.0
318,35.9500,-117.6973,4.97,2000-12-13T20:18:00.960000,1.0
319,35.9368,-117.6990,4.31,2000-12-13T20:19:00.980000,1.0
320,35.8977,-117.7224,6.89,2000-12-13T20:20:00.960000,1.0
321,35.9463,-117.6897,5.13,2000-12-13T20:21:00.930000,1.0
322,35.5988,-117.5883,3.53,2000-12-13T20:22:00.990000,1.0
323,35.7098,-117.5409,4.66,2000-12-13T20:23:00.930000,1.0
324,35.6721,-117.4774,3.71,2000-12-13T20:24:00.950000,1.0
325,35.6234,-117.5949,6.34,2000-12-13T20:25:01.210000,1.0
326,35.9984,-117.6538,5.38,2000-12-13T20:26:00.940000,1.0
327,35.7660,-117.5605,5.80,2000-12-13T20:27:01.020000,1.0
328,35.7540,-117.5640,5.87,2000-12-13T20:28:00.960000,1.0
329,35.9181,-117.7164,6.65,2000-12-13T20:29:00.970000,1.0
330,35.9059,-117.7081,8.16,2000-12-13T20:30:01.020000,1.0
331,35.6697,-117.4768,1.58,2000-12-13T20:31:00.990000,1.0
332,35.9111,-117.6894,5.14,2000-12-13T20:32:00.990000,1.0
333,35.8937,-117.6750,5.49,2000-12-13T20:33:00.990000,1.0
334,35.6092,-117.4177,7.92,2000-12-13T20:34:01.080000,1.0
335,35.9340,-117.7061,4.62,2000-12-13T20:35:00.930000,1.0
336,35.6322,-117.4387,6.05,2000-12-13T20:36:01.110000,1.0
337,35.6451,-117.4293,5.13,2000-12-13T20:37:01.000000,1.0
338,35.9003,-117.6971,7.48,2000-12-13T20:38:00.950000,1.0
339,35.7326,-117.5658,6.35,2000-12-13T20:39:01.060000,1.0
340,35.6342,-117.4286,4.11,2000-12-13T20:40:01.030000,1.0
341,35.8900,-117.7134,4.98,2000-12-13T20:41:00.980000,1.0
342,35.9056,-117.7295,8.15,2000-12-13T20:42:01.000000,1.0
343,35.8624,-117.6653,8.16,2000-12-13T20:43:01.020000,1.0
344,35.6831,-117.4941,3.15,2000-12-13T20:44:00.940000,1.0
345,35.6324,-117.4334,3.17,2000-12-13T20:45:01.050000,1.0
346,35.9096,-117.6864,4.88,2000-12-13T20:46:00.970000,1.0
347,35.6137,-117.5837,4.72,2000-12-13T20:47:01.090000,1.0
348,35.9579,-117.6739,3.55,2000-12-13T20:48:00.900000,1.0
349,36.0635,-117.8430,3.65,2000-12-13T20:49:01.010000,1.0
350,35.6587,-117.4844,5.14,2000-12-13T20:50:00.960000,1.0
351,35.9153,-117.6727,4.83,2000-12-13T20:51:00.940000,1.0
352,35.8971,-117.6813,4.19,2000-12-13T20:52:01.090000,1.0
353,35.6352,-117.4335,3.00,2000-12-13T20:53:01.010000,1.0
354,35.8471,-117.6604,5.19,2000-12-13T20:54:01.190000,1.0
355,35.9464,-117.6933,4.76,2000-12-13T20:55:01.030000,1.0
356,35.7502,-117.5431,4.65,2000-12-13T20:56:00.910000,1.0
357,35.6157,-117.4576,3.96,2000-12-13T20:57:01.090000,1.0
358,35.9786,-117.6702,3.57,2000-12-13T20:58:00.920000,1.0
359,35.9478,-117.6833,4.50,2000-12-13T20:59:00.940000,1.0
360,35.7189,-117.5513,5.47,2000-12-13T21:00:01.010000,1.0
361,35.8437,-117.6475,5.25,2000-12-13T21:01:01.140000,1.0
362,36.0559,-117.8533,3.48,2000-12-13T21:02:00.980000,1.0
363,36.0246,-117.8615,1.77,2000-12-13T21:03:00.990000,1.0
364,35.5774,-117.6192,4.43,2000-12-13T21:04:01.040000,1.0
365,35.6927,-117.5110,6.26,2000-12-13T21:05:01.030000,1.0
366,35.9820,-117.6727,3.89,2000-12-13T21:06:00.940000,1.0
367,35.9154,-117.6968,7.10,2000-12-13T21:07:01.030000,1.0
368,35.6095,-117.5805,5.73,2000-12-13T21:08:01.030000,1.0
369,35.9443,-117.6883,4.91,2000-12-13T21:09:00.920000,1.0
370,35.8392,-117.6540,7.83,2000-12-13T21:10:01.060000,1.0
371,35.6249,-117.4414,4.87,2000-12-13T21:11:01.060000,1.0
372,35.6528,-117.4535,4.43,2000-12-13T21:12:01.030000,1.0
373,35.6747,-117.4566,6.51,2000-12-13T21:13:00.990000,1.0
374,35.9394,-117.6942,3.77,2000-12-13T21:14:00.980000,1.0
375,35.6658,-117.4581,2.95,2000-12-13T21:15:00.900000,1.0
