lonR,latR,depR
-117.56075,35.74793,4.425
-117.55664,35.74861,6.691
-117.52964,35.67073,9.178
-117.57505,35.75895,7.245
-117.5843,35.6119,6.489
-117.50644,35.71139,9.042
-117.60387,35.57981,7.132
-117.50755,35.7001,5.984
-117.58086,35.61015,7.075
-117.58725,35.60995,4.392
-117.56493,35.74441,3.349
-117.62131,35.57538,5.746
-117.48628,35.68237,5.121
-117.56187,35.77428,6.591
-117.54047,35.73633,7.018
-117.61807,35.57895,5.69
-117.57567,35.75117,6.289
-117.56153,35.76042,5.12
-117.57334,35.74828,4.672
-117.49968,35.68524,6.374
-117.62011,35.57624,5.74
-117.51597,35.66697,7.569
-117.56801,35.74588,4.403
-117.4972,35.70198,6.819
-117.5593,35.74332,4.188
-117.6032,35.56723,5.605
-117.58644,35.7599,8.017
-117.54067,35.72418,5.908
-117.5589,35.74329,3.92
-117.56339,35.77351,6.684
-117.55912,35.74342,4.046
-117.60388,35.56666,5.651
-117.52137,35.71929,4.988
-117.5931,35.61808,7.41
-117.58076,35.60183,4.328
-117.59393,35.61124,7.0
-117.62164,35.57477,5.904
-117.50786,35.70588,8.591
-117.55828,35.74017,3.956
-117.50667,35.70681,7.354
-117.56666,35.74999,4.884
-117.56332,35.76404,5.292
-117.50833,35.71185,8.223
-117.561,35.74206,3.965
-117.55377,35.74511,3.416
-117.5962,35.59562,3.735
-117.49861,35.67997,5.112
-117.48525,35.67439,6.401
-117.56421,35.7735,6.815
-117.59923,35.56913,6.227
-117.55819,35.74402,4.28
-117.55881,35.7436,4.251
-117.57427,35.75274,6.264
-117.5675,35.74977,4.612
-117.55991,35.74324,3.862
-117.61402,35.5865,7.331
-117.60994,35.57581,5.044
-117.5979,35.57171,6.625
-117.57138,35.76108,7.105
-117.55961,35.77362,6.362
-117.49616,35.67827,5.74
-117.57035,35.75325,5.186
-117.51196,35.71897,4.526
-117.59313,35.60185,4.245
-117.51105,35.71075,7.091
-117.49071,35.69842,7.109
-117.60964,35.58567,7.107
-117.51633,35.68124,9.16
-117.6241,35.57261,6.22
-117.56058,35.773,6.69
-117.58512,35.60085,4.332
-117.55439,35.73877,4.516
-117.56194,35.7631,5.299
-117.61454,35.58564,7.29
-117.62485,35.57221,6.07
-117.57284,35.76153,7.083
-117.48532,35.68151,6.22
-117.56002,35.74455,4.136
-117.55673,35.74098,4.764
-117.58951,35.61283,6.651
-117.56976,35.74631,4.677
-117.54171,35.71693,5.216
-117.57559,35.74204,3.271
-117.48503,35.68137,6.256
-117.5272,35.71611,3.768
-117.61885,35.58191,5.879
-117.55711,35.74102,4.81
-117.54494,35.74276,6.776
-117.58019,35.75923,3.216
-117.49694,35.67913,5.544
-117.56856,35.74728,4.878
-117.53232,35.74647,6.255
-117.4733,35.68427,6.735
-117.58291,35.61128,7.021
-117.52699,35.722,4.011
-117.62074,35.57584,5.925
-117.56368,35.74199,5.224
-117.6011,35.59866,4.11
-117.5715,35.75649,6.199
-117.59435,35.60335,4.978
-117.58071,35.60361,4.538
-117.50256,35.69627,6.443
-117.57618,35.75173,6.322
-117.56337,35.75279,4.651
-117.52814,35.72052,5.764
-117.49538,35.69639,6.387
-117.60387,35.57981,7.132
-117.57086,35.74733,4.738
-117.56972,35.76022,6.991
-117.5231,35.72159,5.497
-117.56268,35.7511,4.788
-117.57238,35.74977,4.723
